"AIRLINE_ID","CARRIER_NAME","REGION",
19367,"Britt Airlines Inc.","Domestic",
19368,"Viking Express","Domestic",
19369,"Vale International Airlines","Domestic",
19370,"Valley Airlines","Domestic",
19371,"Air East Airlines","Domestic",
19372,"Walker's International","Domestic",
19373,"Mountainwest Airlines","Domestic",
19374,"Western Star Airlines Inc.","Domestic",
19375,"Western Charter Inc.","Domestic",
19376,"Wheeler Airlines","Domestic",
19377,"Wisc Air","Domestic",
19378,"Will's Air","Domestic",
19379,"Wings Airways","Domestic",
19380,"Mcphillips Flying Service","Domestic",
19381,"Air New Mexico","Domestic",
19382,"Winnipesaukee Aviation Inc.","Domestic",
19383,"Skyway Aviation Inc.","Domestic",
19384,"P.S. Air Freight Inc.","Domestic",
19385,"Reeve Aleutian Airways Inc.","Domestic",
19386,"Northwest Airlines Inc.","Latin America",
19386,"Northwest Airlines Inc.","Atlantic",
19386,"Northwest Airlines Inc.","Pacific",
19386,"Northwest Airlines Inc.","Domestic",
19387,"Wien Air Alaska Inc.","Domestic",
19388,"Southern Airways","Domestic",
19389,"Air Florida Inc.","Latin America",
19389,"Air Florida Inc.","Atlantic",
19389,"Air Florida Inc.","Domestic",
19390,"Air California Inc.","Domestic",
19391,"Pacific Southwest Airlines","Domestic",
19392,"Rich International Airways","International",
19392,"Rich International Airways","Domestic",
19392,"Rich International Airways","System",
19393,"Southwest Airlines Co.","Latin America",
19393,"Southwest Airlines Co.","Domestic",
19394,"Mid-South Aviation Inc.","Domestic",
19395,"Mid-South Aviation Inc.","Domestic",
19396,"Sky West Aviation Inc.","Domestic",
19397,"Republic Airlines Inc.","Domestic",
19398,"Dauphin Island Airways","Domestic",
19399,"New York Air Inc.","Domestic",
19400,"Global International Airways Corp.","International",
19400,"Global International Airways Corp.","Domestic",
19400,"Global International Airways Corp.","System",
19401,"Colgan Airways Inc.","Domestic",
19402,"Overseas National Airways","International",
19402,"Overseas National Airways","System",
19403,"Flight International","International",
19403,"Flight International","Domestic",
19403,"Flight International","System",
19404,"Academy Airlines","Domestic",
19405,"Check-Air Inc.","Domestic",
19406,"Transwest Air Express","Domestic",
19407,"Airgo Inc.","Domestic",
19408,"American Air Transport","Domestic",
19409,"Bo-S-Aire Airlines Inc.","Domestic",
19410,"Combs Airways Inc.","Domestic",
19411,"Summit Airlines Inc.","Domestic",
19412,"Eagle Aviation Inc.","Domestic",
19413,"Falwell Aviation Inc.","Domestic",
19414,"Falcon Airways Inc.","Domestic",
19415,"Pinehurst Airlines Inc.","Domestic",
19416,"Great Western Airlines Inc.","Domestic",
19417,"Air Freight Express","Domestic",
19418,"S. S. Airways Inc.","Domestic",
19419,"Aero Union Corp","Domestic",
19420,"Air Express International Airlines","Domestic",
19421,"Central American International","Domestic",
19422,"Michigan Peninsula Airways","Domestic",
19423,"WTC Airlines","Domestic",
19424,"Profit Airlines Inc.","Domestic",
19425,"CF Air Freight","Domestic",
19426,"International Air Service","Domestic",
19427,"Aeronaves De Puerto Rico","Domestic",
19428,"Allstates Air Cargo Inc.","Domestic",
19429,"Cam Air International Inc.","Domestic",
19430,"Purolator Sky Courier Inc.","Domestic",
19431,"Circle Airfreight Corp.","Domestic",
19432,"Pacific Alaska Airlines Inc.","Domestic",
19433,"Icb International Airlines","Domestic",
19434,"Cohlmia Aviation","Domestic",
19435,"Amerford Airways Inc.","Domestic",
19436,"Astro-Wing Airlines Inc.","Domestic",
19437,"Ball Brothers Inc.","Domestic",
19438,"Burlington Northern Inc.","Domestic",
19439,"Century Airlines Inc.","Domestic",
19440,"Dallas Flight Center","Domestic",
19441,"Jet Way Inc.","Domestic",
19442,"Klondike Air Inc.","Domestic",
19443,"Pat Air","Domestic",
19444,"Phh Air Inc.","Domestic",
19445,"Flight Line Inc.","Domestic",
19446,"Viking International Airlines Inc.","Domestic",
19447,"Capitol International Inc.","Latin America",
19447,"Capitol International Inc.","Atlantic",
19447,"Capitol International Inc.","Domestic",
19448,"Air Caravane Inc.","International",
19449,"Argo S. A.","International",
19450,"Norontair","International",
19451,"Alberta Northern Airlines","International",
19452,"Aviacion Y Comercio S.A.","International",
19453,"Air Bvi Limited","International",
19454,"Spantax S. A.","International",
19455,"Dan Air Services","International",
19456,"Maersk Air I/S","International",
19457,"Aerolineas Dominicanas S A","International",
19458,"Caribwest Airways Ltd.","International",
19459,"Execaire Aviation Ltd.","International",
19460,"Aero Trades (Western) Ltd.","International",
19461,"Fast Air Carrier Ltd.","International",
19462,"Business Flights Ltd.","International",
19463,"Tar Airlines","International",
19464,"Transavia Holland B. V.","International",
19465,"Iscargo Hf","International",
19466,"Tradewinds Airways Ltd.","International",
19467,"Aerlinte Eireann Teoranta","International",
19468,"Iran National Airlines Corp","International",
19469,"Inair","International",
19470,"Allarco Developments Ltd.","International",
19471,"Transmeridian Air Cargo Ltd.","International",
19472,"Kelowna Flightcraft Air Cha","International",
19473,"Liat (1974) Limited","International",
19474,"Millardair Limited","International",
19475,"Montana Austria Flugetrieb","International",
19476,"P.N. Merpati Nusantara Air.","International",
