STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,AWND,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT09,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT06,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT05,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT02,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT04,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT08,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT03,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170131,0.06, , ,W,2400,-9999, , , ,9999,0.6, , ,W,9999,25,H, ,S,9999,28, , ,W,2400,20, , ,W,2400,7.4, , ,W,9999,280, , ,W,9999,260, , ,W,9999,19.9, , ,W,9999,28.0, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170201,0.05, , ,W,2400,-9999, , , ,9999,0.8, , ,W,9999,32,H, ,S,9999,43, , ,W,2400,27, , ,W,2400,10.1, , ,W,9999,260, , ,W,9999,270, , ,W,9999,28.0, , ,W,9999,35.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170202,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,36,H, ,S,9999,40, , ,W,2400,29, , ,W,2400,13.4, , ,W,9999,280, , ,W,9999,280, , ,W,9999,25.1, , ,W,9999,35.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170203,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,30,H, ,S,9999,33, , ,W,2400,25, , ,W,2400,11.6, , ,W,9999,280, , ,W,9999,270, , ,W,9999,21.0, , ,W,9999,25.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170204,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,27,H, ,S,9999,33, , ,W,2400,21, , ,W,2400,13.2, , ,W,9999,270, , ,W,9999,270, , ,W,9999,21.0, , ,W,9999,28.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170205,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,32,H, ,S,9999,44, , ,W,2400,26, , ,W,2400,13.4, , ,W,9999,250, , ,W,9999,240, , ,W,9999,23.0, , ,W,9999,36.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170206,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,36,H, ,S,9999,39, , ,W,2400,32, , ,W,2400,14.1, , ,W,9999,280, , ,W,9999,280, , ,W,9999,28.0, , ,W,9999,38.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170207,0.44, , ,W,2400,-9999, , , ,9999,1.2, , ,W,9999,35,H, ,S,9999,38, , ,W,2400,33, , ,W,2400,16.6, , ,W,9999,60, , ,W,9999,60, , ,W,9999,25.9, , ,W,9999,32.0, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170208,0.02, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,37,H, ,S,9999,52, , ,W,2400,25, , ,W,2400,9.2, , ,W,9999,280, , ,W,9999,310, , ,W,9999,18.1, , ,W,9999,23.0, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170209,1.25, , ,W,2400,0.0, , ,H,9999,10.9, , ,W,9999,32,H, ,S,9999,39, , ,W,2400,11, , ,W,2400,21.0, , ,W,9999,30, , ,W,9999,30, , ,W,9999,38.9, , ,W,9999,49.0, , ,W,9999,1, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
