,AIRLINE_ID,CARRIER_NAME
756,19723,Omniflight Airways
757,19724,Southern Express Airways
758,19725,Turner Aire
759,19726,AAR Western Skyways
760,19727,Skybus Inc.
761,19728,Caicos Caribbean Airways
762,19729,Jet Express
763,19730,Regent Air Corporation
764,19731,Westates Airlines
765,19732,Action Airlines
766,19733,California Seaboard
767,19734,Enterprise Airlines Inc.
768,19735,Island Air Express
769,19736,Maui Airlines
770,19737,Metro Express 11
771,19738,Otter Air
772,19739,Prime Air Inc.
773,19740,Sallee's Aviation
774,19741,Wrangell Air Service
775,19742,Atlantic Gulf Airlines
776,19742,Atlantic Gulf Airlines
777,19742,Atlantic Gulf Airlines
778,19743,Skyworld Airlines Inc.
779,19743,Skyworld Airlines Inc.
780,19744,Presidential Airways Inc.
781,19745,Caribbean Air Cargo Co Ltd.
782,19746,P.T. Garuda Indonesian Arwy
783,19747,Egyptair
784,19748,Bay Air
785,19749,Five Star Airlines
786,19749,Five Star Airlines
787,19749,Five Star Airlines
788,19750,King Flying Service
789,19751,Le Point Air
790,19752,Barrow Air
791,19753,Big Island Air
792,19754,Cityhop
793,19755,GP Express Airlines
794,19756,Iowa Airways
795,19757,Mountain West Airlines
796,19758,Resort Commuter
797,19759,Texas National Airlines
798,19760,Air Hawaii
799,19760,Air Hawaii
800,19760,Air Hawaii
801,19761,Aerotal
802,19762,Air L.A.
803,19763,Aero Coach
804,19764,Air Link Airways
805,19765,Million Air
806,19766,Helitrans
807,19767,La Helicopter
808,19768,Omniflight Helicopters
809,19769,Reeves Air
810,19770,Compania Panamena (Copa)
811,19771,Zas Airline Of Egypt
812,19772,Polar International
813,19773,Hemisphere Air Charter
814,19774,Airways International
815,19775,Chicago Airlines
816,19776,Royal West Airlines
817,19777,Airpac Inc.
818,19777,Airpac Inc.
819,19777,Airpac Inc.
820,19778,Aerovias Venezolanas-Avensa
821,19779,Cathay Pacific Airways Ltd.
822,19780,Galena Air Service
823,19781,Stateswest Airlines
824,19782,Executive Transport
825,19783,Propheter Aviation
826,19784,Wise Airlines Inc.
827,19786,Haines Airways
828,19787,Great American Airways
829,19787,Great American Airways
830,19787,Great American Airways
831,19787,Great American Airways
832,19788,Air Puerto Rico Airlines
833,19788,Air Puerto Rico Airlines
834,19788,Air Puerto Rico Airlines
835,19788,Air Puerto Rico Airlines
836,19789,Viacao Aerea Sao Paulo
837,19790,Delta Air Lines Inc.
838,19790,Delta Air Lines Inc.
839,19790,Delta Air Lines Inc.
840,19790,Delta Air Lines Inc.
841,19791,All Nippon Airways Co.
842,19792,International Parcel Express Inc.
843,19793,Anglo Airlines Ltd.
844,19794,Midcontinent Airlines
845,19795,Malaysian Airline System
846,19796,Pilgrim Aviation & Airlines
847,19796,Pilgrim Aviation & Airlines
848,19796,Pilgrim Aviation & Airlines
849,19797,Florida Express Inc.
850,19797,Florida Express Inc.
851,19798,Orion Air
852,19798,Orion Air
853,19798,Orion Air
854,19799,Nationair
855,19800,Air Cape
856,19801,Lake Coastal
857,19802,Mst Aviation
858,19803,First Air
859,19804,Transportes Aereos De Cabo
860,19805,American Airlines Inc.
861,19805,American Airlines Inc.
862,19805,American Airlines Inc.
863,19805,American Airlines Inc.
